mora,atraso,vivienda,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,zona,clasif_sbs,nivel_educ
0,235,1,30.0,3748.0,93.0,5.0,3500.0,11987.241038228825,0.0,214.0,14,4.0,3
0,18,1,32.0,4598.0,9.0,12.0,900.0,1824.67,1933.75,175.0,12,1.0,2
0,0,1,26.0,5148.0,8.0,2.0,2400.0,2797.38,188.29,187.0,14,0.0,3
0,0,1,36.0,5179.0,20.0,12.0,2700.0,11987.241038228825,0.0,187.0,1,0.0,2
0,0,1,46.0,3960.0,32.40158319378901,1.0,3100.0,2000.0,11010.65,189.0,14,0.0,2
0,22,1,25.0,4874.0,9.0,12.0,2200.0,449.92,496.58,220.0,14,0.0,3
0,9,1,30.0,3930.0,12.0,8.0,2100.0,4827.64,850.21,193.0,14,0.0,3
0,8,2,55.0,4995.0,23.0,12.0,5593.21,10467.0,18620.8,199.0,19,0.0,2
0,2,1,30.0,5026.0,32.40158319378901,0.0,2000.0,7315.41,0.0,156.0,19,0.0,3
0,0,1,31.0,4964.0,32.40158319378901,4.0,3800.0,11987.241038228825,0.0,192.0,10,0.0,2
0,0,1,26.0,4200.0,8.0,12.0,3929.72,6000.0,502.13,186.0,15,0.0,2
0,0,1,50.0,4995.0,32.40158319378901,2.0,6000.0,2802.74,19020.95,177.0,11,0.0,2
0,1,1,21.0,4315.0,12.0,12.0,1076.94,3900.0,3796.18,175.0,14,0.0,2
0,0,2,41.0,3687.0,8.0,10.0,2615.68,3500.0,1825.18,199.0,14,0.0,2
0,0,1,30.0,3779.0,6.0,11.0,850.0,675.0,2484.67,168.0,14,0.0,2
0,1,1,52.0,6031.0,32.40158319378901,12.0,8000.0,2709.94,47869.37,197.0,13,0.0,2
0,17,1,28.0,5694.0,47.0,0.0,2800.0,7324.16,0.0,175.0,14,2.0,3
0,0,1,45.0,7612.0,32.40158319378901,4.0,1053.0,541.21,0.0,168.0,14,1.0,3
0,0,1,30.0,3899.0,10.0,12.0,1163.91,8871.27,32.05,168.0,14,0.0,2
0,0,1,54.0,3930.0,9.0,12.0,666.11,2673.0,4010.56,180.0,19,0.0,2
0,25,1,29.0,4052.0,11.0,9.0,1500.0,1500.0,423.93,177.0,14,1.0,2
0,2,1,35.0,3992.0,8.0,12.0,785.06,500.0,818.8,177.0,14,1.0,2
0,2,1,51.0,4385.0,12.0,12.0,900.0,11987.241038228825,3672.76,180.0,14,0.0,2
0,2,1,29.0,4904.0,32.40158319378901,12.0,905.76,350.0,1814.11,194.0,14,0.0,2
0,1,2,59.0,5605.0,9.0,12.0,2300.0,600.0,5195.7,230.0,14,0.0,2
0,2,2,41.0,4083.0,32.40158319378901,12.0,950.0,11987.241038228825,4444.3,218.0,19,0.0,2
0,0,1,22.0,3382.0,8.0,12.0,2100.0,900.0,3533.97,214.0,6,0.0,3
0,25,1,23.0,4205.0,7.0,12.0,2100.0,1200.0,1412.51,174.0,14,1.0,3
0,6,1,26.0,5452.0,32.40158319378901,12.0,3000.0,2779.74,1815.53,215.0,14,0.0,3
0,0,1,32.0,4052.0,32.40158319378901,12.0,1779.79,11987.241038228825,9389.79,173.0,14,0.0,2
0,0,1,30.0,5209.0,33.0,11.0,18000.0,13830.18,0.0,198.0,14,0.0,3
0,1,1,32.0,3626.0,32.40158319378901,12.0,940.79,1350.09,2835.34,175.0,14,0.0,2
0,25,1,26.0,4598.0,33.0,12.0,1434.7,6910.5,5500.23,171.0,6,1.0,2
0,0,1,29.0,4721.0,8.0,12.0,2600.0,1075.95,747.4,200.0,14,0.0,3
0,0,2,40.0,9988.0,32.40158319378901,0.0,3100.0,11987.241038228825,0.0,204.0,1,4.0,3
0,0,2,46.0,5564.0,32.40158319378901,1.0,900.0,4742.45,1610.13,172.0,13,1.0,2
0,1,1,38.0,4233.0,32.40158319378901,12.0,1097.38,1200.0,4562.13,179.0,14,1.0,2
0,0,1,26.0,4598.0,8.0,12.0,2300.0,6406.02,158.24,187.0,14,0.0,3
0,0,1,31.0,4478.0,8.0,12.0,1300.0,1850.0,1471.32,176.0,14,0.0,3
0,0,1,24.0,4356.0,10.0,12.0,3500.0,11987.241038228825,0.0,179.0,14,0.0,2
0,20,2,42.0,5301.0,32.40158319378901,12.0,2600.0,145.12,1316.08,207.0,14,2.0,2
0,0,1,29.0,4386.0,8.0,12.0,2100.0,863.39,89.83,200.0,14,0.0,3
0,1,1,34.0,3930.0,11.0,12.0,2066.59,1000.0,5356.8,196.0,10,0.0,2
0,0,2,35.0,4144.0,32.40158319378901,12.0,2168.83,1500.0,3874.39,213.0,12,0.0,2
0,23,1,36.0,4995.0,32.40158319378901,1.0,1200.0,1840.0,1218.6,165.0,14,1.0,3
0,9,2,38.0,5209.0,28.0,12.0,700.0,2595.06,1094.72,226.0,14,0.0,2
0,1,2,24.0,4052.0,32.40158319378901,12.0,1119.98,11987.241038228825,945.36,175.0,14,0.0,2
0,27,2,37.0,3534.0,32.40158319378901,12.0,1700.0,11987.241038228825,18711.03,194.0,5,0.0,2
0,0,1,32.0,5878.0,11.0,12.0,1950.0,1760.0,5.29,180.0,14,0.0,2
0,33,1,36.0,6243.0,38.0,12.0,900.0,2414.65,0.0,177.0,14,2.0,2
0,0,2,24.0,4382.0,32.40158319378901,12.0,1272.95,11987.241038228825,4103.82,194.0,6,0.0,2
0,0,1,29.0,5056.0,14.0,1.0,1500.0,10485.64,502.97,165.0,14,0.0,3
0,2,1,25.0,4935.0,16.0,12.0,1053.18,2400.0,1200.0,169.0,6,0.0,2
0,21,1,23.0,3960.0,17.0,12.0,2100.0,2113.17,3.96,206.0,14,1.0,2
0,2,1,23.0,4539.0,32.40158319378901,12.0,2300.0,1573.6,0.0,181.0,14,0.0,3
0,1,2,24.0,3899.0,20.0,12.0,2100.0,2080.0,2426.15,228.0,14,2.0,3
0,0,1,28.0,4113.0,6.0,12.0,1400.0,2500.0,1810.82,185.0,14,0.0,3
0,0,1,29.0,4113.0,15.0,12.0,4200.0,186.22,1075.17,200.0,14,0.0,3
0,0,1,26.0,3483.0,32.40158319378901,12.0,703.53,11987.241038228825,2495.79,167.0,14,0.0,2
0,0,1,24.0,4021.0,32.40158319378901,12.0,1200.0,11987.241038228825,3789.55,156.0,14,0.0,2
0,1,2,39.0,3864.0,32.40158319378901,12.0,880.0,11987.241038228825,197.03,215.0,14,0.0,2
0,0,2,32.0,6821.0,32.40158319378901,8.0,5000.0,242.23,9481.83,162.0,13,0.0,2
0,0,1,37.0,4174.0,32.40158319378901,12.0,3500.0,2924.86,0.0,202.0,14,0.0,3
0,0,1,21.0,3718.0,9.0,11.0,2100.0,2176.56,771.21,207.0,14,2.0,3
0,0,1,25.0,3347.0,32.40158319378901,12.0,2500.0,11987.241038228825,0.0,186.0,11,0.0,2
0,0,1,41.0,4386.0,104.0,12.0,3350.0,14223.57,3459.13,190.0,12,1.0,2
0,0,0,29.0,4935.0,32.40158319378901,0.0,1860.0,11987.241038228825,13201.17,167.0,12,0.0,2
0,2,1,44.0,4813.0,2.0,12.0,3476.0,11987.241038228825,24592.29,205.0,1,4.0,3
0,3,1,25.0,5725.0,32.40158319378901,11.0,6000.0,520.73,0.0,205.0,13,1.0,2
0,0,1,29.0,3168.0,32.40158319378901,12.0,694.41,886.68,1556.01,194.0,14,1.0,2
0,2,1,21.0,3612.0,32.40158319378901,12.0,1504.31,11987.241038228825,0.0,161.0,14,0.0,2
0,2,1,28.0,4367.0,32.40158319378901,12.0,1812.8,11987.241038228825,7697.47,177.0,12,0.0,2
0,2,1,26.0,4818.0,32.40158319378901,12.0,964.62,11987.241038228825,284.36,169.0,23,0.0,0
0,6,1,34.0,10108.0,33.0,1.0,5039.0,461.21,19539.22,206.0,19,1.0,2
0,0,1,32.0,6396.0,15.0,0.0,4500.0,14940.16,60.3,163.0,14,0.0,0
0,0,1,29.0,5301.0,24.0,0.0,3224.86,567.63,678.86,180.0,2,0.0,3
0,23,1,35.0,5847.0,32.40158319378901,12.0,1800.0,11987.241038228825,3942.86,204.0,19,1.0,3
0,0,2,47.0,4570.0,32.40158319378901,12.0,3800.0,1790.97,1943.62,214.0,13,0.0,0
0,0,1,29.0,5360.0,32.40158319378901,12.0,3200.0,5889.34,0.0,216.0,14,1.0,3
0,0,1,30.0,3443.0,32.40158319378901,12.0,8239.0,11987.241038228825,23303.9,185.0,5,0.0,2
0,0,1,36.0,4170.0,10.0,12.0,3150.0,1700.0,1637.81,197.0,14,4.0,3
0,1,1,28.0,6456.0,9.0,11.0,2200.0,1107.42,1175.88,209.0,14,0.0,3
0,1,1,55.0,3868.0,8.0,12.0,3686.3,8925.0,2764.72,211.0,14,2.0,2
0,1,1,26.0,4113.0,7.0,12.0,2278.38,1600.0,5458.23,206.0,14,0.0,3
0,0,2,32.0,4629.0,9.0,12.0,3000.0,2107.77,3735.74,230.0,17,0.0,2
0,1,1,32.0,4205.0,32.40158319378901,12.0,1000.0,460.0,3951.23,194.0,14,0.0,2
0,20,2,26.0,4721.0,38.0,12.0,2166.26,5338.84,0.0,191.0,14,1.0,2
